,EventID,Type,Link
0,0,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/3/worksheets/worksheet02.pdf
1,0,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/3/slides/slides03.pdf
2,1,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/9/worksheets/worksheet08.pdf
3,1,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/9/slides/slides09.pdf
4,2,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/4/worksheets/worksheet03.pdf
5,2,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/4/slides/slides04.pdf
6,3,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/2/worksheets/worksheet01.pdf
7,3,lab,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/2/lab/py_tut.pdf
8,3,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/2/slides/slides02.pdf
9,4,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/1/slides/slides01.pdf
10,5,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/8/worksheets/worksheet07.pdf
11,5,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/8/slides/slides08.pdf
12,6,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/5/worksheets/worksheet04.pdf
13,6,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/5/slides/slides05.pdf
14,7,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/7/worksheets/worksheet06.pdf
15,7,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/7/slides/slides07.pdf
16,8,worksheets,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/6/worksheets/worksheet05.pdf
17,8,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/COMP/474/Lectures/6/slides/slides06.pdf
18,9,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/3/tutorial/slides/03 Tutorial Object-oriented design and design principles.pptx
19,9,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/3/tutorial/slides/SOEN 343 - Fall 2020 - Tutorial 1.pdf
20,10,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/3/slides/03b UML Sequence and activity diagrams.pptx
21,10,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/3/slides/03a use cases.pptx
22,11,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/12/slides/12 distributed architecture part II.pptx
23,11,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/12/slides/12 distributed architecture part I.pptx
24,12,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/10/tutorial/slides/05 Tutorial anti-patterns.pptx
25,13,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/10/slides/10 anti-patterns and refactoring.pptx
26,14,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/11/slides/11 part 2 data-centered architectures.pptx
27,14,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/11/slides/11 data-flow architectures.pptx
28,15,slides,file:///home/namv/Documents/School/Winter-2021/COMP-474/Studybot/data/SOEN/343/Lectures/9/tutorial/slides/Tutorial 04 - Exercise - Design Patterns in practice -4.pdf
