material,resource
N52f427077bfb4669af0bab8f4da2b2df,file:///./SOEN/343/Lectures/7/slides/07_creational_design_patterns.pptx
N38263c82215b4a1ebdefd3e79e7e2ac0,file:///./COMP/474/Lectures/1/slides/slides01.pdf
Nf7509119727341e793d789f859a558cd,file:///./SOEN/343/Lectures/11/slides/11_part_2_data-centered_architectures.pptx
N632ba4bec718459a843996c8eeeb15f7,file:///./COMP/474/Lectures/1/lab/slides/py_tut.pdf
N5dc35ff82c8b471a81a88e6d9e9de3cb,file:///./COMP/474/Lectures/4/lab/html/COMP-474-2204-UU_Lab_Session_#4.html
N0b046affa825409db28a9e0f86a2dba8,file:///./COMP/474/Lectures/2/slides/slides02.pdf
Nfc7c79c21a384c378b5b13efd0e01df6,file:///./COMP/474/Lectures/3/slides/slides03.pdf
N005752a5548a489db0429b6e12403d8e,file:///./SOEN/343/Lectures/2/tutorial/solutions/Tutorial_1_solution.docx
Nfb60d457d47f460da54d30cdb7320730,file:///./SOEN/343/Lectures/6/tutorial/slides/03_Tutorial_Object-oriented_design_and_design_principles.pptx
N94d26013d1f144638ee9ece7791d955c,file:///./SOEN/343/Lectures/1/slides/01_Introduction_to_sw_architecture.pptx
N74cae7b3b603408d962ca9f46fee1f9b,file:///./COMP/474/Lectures/8/worksheets/worksheet07.pdf
Ne2ea363c16bd4aa4aff02fb0e33e0bbc,file:///./SOEN/343/Lectures/4/tutorial/solutions/Tutorial_2_UML_diagrams_Solutions.docx
N748729e0eda845d18f19372e4ee90579,file:///./COMP/474/Lectures/6/worksheets/worksheet05.pdf
N3704f1e57df248b5a7d57680a85f83ef,file:///./COMP/474/Lectures/4/slides/slides04.pdf
Nb3466039f9764dae801e32799413145e,file:///./SOEN/343/Lectures/3/tutorial/slides/SOEN_343_-_Fall_2020_-_Tutorial_1.pdf
N764a9b3d8993401cb778dfbd7d8bccc1,file:///./SOEN/343/Lectures/8/tutorial/slides/04_Tutorial_design_patterns_in_the_wild.pptx
N951259b1fd054e26a40aa1e803d3c2cf,file:///./COMP/474/Lectures/7/worksheets/worksheet06.pdf
N6061d28b4c714033ad5b35204eaeadec,file:///./COMP/474/Lectures/2/lab/html/COMP-474-2204-UU_Lab_Session_#2.html
N44d5821ed41d4f579fcf7cd0108e58d2,file:///./COMP/474/Lectures/2/worksheets/worksheet01.pdf
N91752037cd1647f2acb85c37306a7181,file:///./SOEN/343/Lectures/2/tutorial/slides/01_Tutorial_Domain_analysis.pptx
Nfc21bd0f59d84bac8c52d3da36a359f6,file:///./SOEN/343/Lectures/4/slides/04c_Object_Oriented_advanced_design_principles.pptx
N7b3f473a66764de88804dc9d72700df3,file:///./SOEN/343/Lectures/3/tutorial/slides/03_Tutorial_Object-oriented_design_and_design_principles.pptx
Nfe925d8dc4884ec19be6d9f05abe7bc0,file:///./COMP/474/Lectures/5/lab/html/COMP-474-2204-UU_Lab_Session_#5.html
Ne54f4f0355d045acb7e8cc47db9282b9,file:///./SOEN/343/Lectures/9/slides/09_exception_handling.pptx
N93f08ee0b8dd462cb0acc0631e29d585,file:///./SOEN/343/Lectures/3/slides/03b_UML_Sequence_and_activity_diagrams.pptx
Na2d8695471ad41afa5a56c8547103663,file:///./SOEN/343/Lectures/6/slides/06a_apidoc_generation.pptx
N9446a777bd4d42e781bee9be36b8b8e3,file:///./COMP/474/Lectures/9/worksheets/worksheet08.pdf
Nc5ac8e43777b41e6928d36fd4121ba9d,file:///./COMP/474/Lectures/6/lab/html/COMP-474-2204-UU_Lab_Session_#6.html
Nbc23ab7b5f0e4bfebc5414c0c85a2c6f,file:///./SOEN/343/Lectures/4/slides/04a_Object_Oriented_design.pptx
Nd874c1b0051c49cca3ca5ba88a7da555,file:///./COMP/474/Lectures/9/lab/html/COMP-474-2204-UU_Lab_Session_#9.html
N627bdb5dddf044099ad443ae639b854c,file:///./COMP/474/Lectures/4/worksheets/worksheet03.pdf
Na567c66acf544a028d06ddf6520bb3d0,file:///./SOEN/343/Lectures/10/tutorial/slides/05_Tutorial_anti-patterns.pptx
N47c9b41625464ebe8c3dd849d2788a03,file:///./SOEN/343/Lectures/2/slides/02a_models_for_software_architecture.pptx
N127f0b6f44364321a66b7beede258043,file:///./SOEN/343/Lectures/10/slides/10_anti-patterns_and_refactoring.pptx
N0106ccc5b72b49be9ac3cb8715787436,file:///./SOEN/343/Lectures/9/tutorial/slides/Tutorial_04_-_Exercise_-_Design_Patterns_in_practice_-4.pdf
N96534e054d4744138dd9dda99c4981c7,file:///./SOEN/343/Lectures/12/slides/12_distributed_architecture_part_I.pptx
N1a55630210fd49e4a4eb976c62d34e52,file:///./SOEN/343/Lectures/6/slides/06b_unit_testing.pptx
N77a53c8ad2764657a70859959af9828a,file:///./SOEN/343/Lectures/4/slides/04b_Object_Oriented_design_OPS_case_study.pptx
N766996bf1f40449882c97033d7bfb46a,file:///./COMP/474/Lectures/8/slides/slides08.pdf
N7d6e06c1df254bf7a0b49c04b57bdc11,file:///./SOEN/343/Lectures/5/slides/05a_introduction_to_design_patterns.pptx
Nd79f2f4c3fa048028240a06b6bf82127,file:///./COMP/474/Lectures/9/slides/slides09.pdf
Nb6e8c7b236bf42ab8f31aa5900c441fb,file:///./SOEN/343/Lectures/4/tutorial/slides/02_Tutorial_UML_diagrams.pptx
N85dadee8275d4accaa38e3b8172acdc1,file:///./SOEN/343/Lectures/3/slides/03a_use_cases.pptx
N0e7d54ec35814cb4a3aab3bd6d6412c1,file:///./SOEN/343/Lectures/5/slides/05b_mvc_and_observer_pattern.pptx
N4744c54901aa47a3b6f6dde6995fc2a4,file:///./COMP/474/Lectures/5/worksheets/worksheet04.pdf
Ned8edbb8045b4d31accb6f506f0b21e9,file:///./COMP/474/Lectures/8/lab/html/COMP-474-2204-UU_Lab_Session_#8.html
N439bcc28bfdf4627be2040f22c1c81e7,file:///./COMP/474/Lectures/5/slides/slides05.pdf
N035a3e88a1814af3983d3899a6008397,file:///./COMP/474/Lectures/3/worksheets/worksheet02.pdf
N3227f8f69c3744a8ba82de40c776998b,file:///./SOEN/343/Lectures/11/slides/11_data-flow_architectures.pptx
Nae191d4ad8af49c3872aa5efbb8e2d85,file:///./COMP/474/Lectures/6/slides/slides06.pdf
N338813a96874432a9d37fbe1b29a47ae,file:///./SOEN/343/Lectures/8/slides/08_structural_design_patterns.pptx
Na714514b09fe4e578fb393d2b7a461e5,file:///./SOEN/343/Lectures/12/slides/12_distributed_architecture_part_II.pptx
Nfdf86c177926485293b63b4faf1e3ae4,file:///./COMP/474/Lectures/7/slides/slides07.pdf
N898e4bcb72ed400da021916a1b43c0fb,file:///./COMP/474/Lectures/3/lab/html/COMP-474-2204-UU_Lab_Session_#3.html
N5bc944d330154a87b4b8a6af63e175a8,file:///./COMP/474/Lectures/7/lab/html/COMP-474-2204-UU_Lab_Session_#7.html
N06746a23c1f444449e66623fa156f4fb,file:///./COMP/474/Lectures/1/lab/html/COMP-474-2204-UU_Lab_Introduction_to_Python.html
Nf55c805fb0164eeaa4e021d2e3243422,file:///./SOEN/343/Lectures/2/slides/02b_domain_modeling_uml_class_diagrams.pptx
