course,lectureEvent,events,resourceURI
file:///data/COMP-474,file:///data/COMP474_Lectures_7,file:///data/COMP474_lab_7,file:///./COMP/474/Lectures/7/lab/html/COMP-474-2204-UU_Lab_Session_#7.html
file:///data/COMP-474,,file:///data/COMP474_Lectures_9,file:///./COMP/474/Lectures/9/slides/slides09.pdf
file:///data/COMP-474,file:///data/COMP474_Lectures_5,file:///data/COMP474_lab_5,file:///./COMP/474/Lectures/5/lab/html/COMP-474-2204-UU_Lab_Session_#5.html
file:///data/COMP-474,file:///data/COMP474_Lectures_9,file:///data/COMP474_lab_9,file:///./COMP/474/Lectures/9/lab/html/COMP-474-2204-UU_Lab_Session_#9.html
file:///data/COMP-474,,file:///data/COMP474_Lectures_1,file:///./COMP/474/Lectures/1/slides/slides01.pdf
file:///data/SOEN-343,,file:///data/SOEN343_Lectures_3,file:///./SOEN/343/Lectures/3/slides/03b_UML_Sequence_and_activity_diagrams.pptx
file:///data/COMP-474,,file:///data/COMP474_Lectures_9,file:///./COMP/474/Lectures/9/worksheets/worksheet08.pdf
file:///data/COMP-474,,file:///data/COMP474_Lectures_8,file:///./COMP/474/Lectures/8/worksheets/worksheet07.pdf
file:///data/COMP-474,,file:///data/COMP474_Lectures_8,file:///./COMP/474/Lectures/8/slides/slides08.pdf
file:///data/COMP-474,,file:///data/COMP474_Lectures_2,file:///./COMP/474/Lectures/2/worksheets/worksheet01.pdf
file:///data/COMP-474,,file:///data/COMP474_Lectures_5,file:///./COMP/474/Lectures/5/slides/slides05.pdf
file:///data/COMP-474,,file:///data/COMP474_Lectures_2,file:///./COMP/474/Lectures/2/slides/slides02.pdf
